Colorcode;Colorname;Finish;num;aantal;omschrijving;pdf;ean;cn;beeld
9016;Traffic White;Satin;432034;1936;RAL COLOURS;2018_izeon.pdf;9016-432034;9016;201922034_meteon_outline_1.pdf
7035;Light Grey;Satin;432035;1936;RAL COLOURS;2018_izeon.pdf;7035-432035;7035;201922034_meteon_outline_2.pdf
5011;Steel Blue;Satin;432036;1936;RAL COLOURS;2018_izeon.pdf;5011-432036;5011;201922034_meteon_outline_3.pdf
7022;Umbra Grey;Satin;432037;1936;RAL COLOURS;2018_izeon.pdf;7022-432037;7022;201922034_meteon_outline_4.pdf
A24.4.1;Steel Blue;Satin;400615;722;UNI COLOURS;2018_meteon.pdf;A2441-400615;A24.4.1;201922034_meteon_outline_5.pdf
A20.5.2 ;Lavender Blue;Satin;400582;722;UNI COLOURS;2018_meteon.pdf;A2052-400582;A20.5.2 ;201922034_meteon_outline_6.pdf
A12.3.7;Carmine Red;Satin;400566;1444;UNI COLOURS;2018_meteon.pdf;A1237-400566;A12.3.7;201922034_meteon_outline_7.pdf
A10.6.1;Taupe;Satin;400559;722;UNI COLOURS;2018_meteon.pdf;A1061-400559;A10.6.1;201922034_meteon_outline_8.pdf
A22.3.1;Ocean Grey;Satin;400602;722;UNI COLOURS;2018_meteon.pdf;A2231-400602;A22.3.1;201922034_meteon_outline_9.pdf
A22.2.4;Powder Blue;Satin;412114;722;UNI COLOURS;2018_meteon.pdf;A2224-412114;A22.2.4;201922034_meteon_outline_10.pdf
A05.1.0;Papyrus White;Satin;400510;722;UNI COLOURS;2018_meteon.pdf;A0510-400510;A05.1.0;201922034_meteon_outline_11.pdf
A36.3.5;Turf Green;Satin;431085;128;UNI COLOURS;2018_meteon.pdf;A3635-431085;A36.3.5;201922034_meteon_outline_12.pdf
A03.0.0;White;Satin;431134;256;UNI COLOURS;2018_meteon.pdf;A0300-431134;A03.0.0;201922034_meteon_outline_13.pdf
A03.4.0;Silver Grey;Satin;431138;74;UNI COLOURS;2018_meteon.pdf;A0340-431138;A03.4.0;201922034_meteon_outline_14.pdf
A04.0.5;Zinc Yellow;Satin;431083;128;UNI COLOURS;2018_meteon.pdf;A0405-431083;A04.0.5;201922034_meteon_outline_15.pdf
A04.1.7;Gold Yellow;Satin;431081;128;UNI COLOURS;2018_meteon.pdf;A0417-431081;A04.1.7;201922034_meteon_outline_16.pdf
A05.0.0;Pure White;Satin;431132;256;UNI COLOURS;2018_meteon.pdf;A0500-431132;A05.0.0;201922034_meteon_outline_17.pdf
A11.4.4;English Red;Satin;431088;128;UNI COLOURS;2018_meteon.pdf;A1144-431088;A11.4.4;201922034_meteon_outline_18.pdf
A11.8.0;Ceramic Greige;Satin;431095;128;UNI COLOURS;2018_meteon.pdf;A1180-431095;A11.8.0;201922034_meteon_outline_19.pdf
A08.3.1;Stone Grey;Rock;431054;128;UNI COLOURS;2018_meteon.pdf;A0831-431054;A08.3.1;201922034_meteon_outline_20.pdf
NW29;Woodstone;Matt;430897;968;WOOD DECORS;2018_meteon.pdf;NW29-430897;NW29;201922034_meteon_outline_21.pdf
NW25;Hesbania;Matt;430893;968;WOOD DECORS;2018_meteon.pdf;NW25-430893;NW25;201922034_meteon_outline_22.pdf
NW08;Italian Walnut;Matt;430295;42;WOOD DECORS;2018_meteon.pdf;NW08-430295;NW08;201922034_meteon_outline_23.pdf
NW24 ;Greyed Cedar;Matt;430892;42;WOOD DECORS;2018_meteon.pdf;NW24-430892;NW24 ;201922034_meteon_outline_24.pdf
NW05;Loft Brown;Matt;430294;42;WOOD DECORS;2018_meteon.pdf;NW05-430294;NW05;201922034_meteon_outline_25.pdf
NW26;Core Ash;Matt;430901;42;WOOD DECORS;2018_meteon.pdf;NW26-430901;NW26;201922034_meteon_outline_26.pdf
NW14;French Walnut;Matt;430297;42;WOOD DECORS;2018_meteon.pdf;NW14-430297;NW14;201922034_meteon_outline_27.pdf
NW16;Milano Terra;Matt;430298;21;WOOD DECORS;2018_meteon.pdf;NW16-430298;NW16;201922034_meteon_outline_28.pdf
NW05;Loft Brown;Matt;430828;171;WOOD DECORS;2018_meteon.pdf;NW05-430828;NW05;201922034_meteon_outline_29.pdf
NW15;Milano Sabbia;Satin;430719;171;WOOD DECORS;2018_meteon.pdf;NW15-430719;NW15;201922034_meteon_outline_30.pdf
NW18;Light Mahogany;Satin;430725;342;WOOD DECORS;2018_meteon.pdf;NW18-430725;NW18;201922034_meteon_outline_31.pdf
NW23;Nordic Black;Satin;430733;171;WOOD DECORS;2018_meteon.pdf;NW23-430733;NW23;201922034_meteon_outline_32.pdf
NW30;Tropical Ipe;Matt;431956;1160;WOOD DECORS;2018_meteon.pdf;NW30-431956;NW30;201922034_meteon_outline_33.pdf
NA16;Belgian Bluestone;Matt;431637;775;NATURALS;2018_meteon.pdf;NA16-431637;NA16;201922034_meteon_outline_34.pdf
NM01;Rusted Brown;Matt;430916;42;NATURALS;2018_meteon.pdf;NM01-430916;NM01;201922034_meteon_outline_35.pdf
NM03;Corroded Green;Matt;430917;42;NATURALS;2018_meteon.pdf;NM03-430917;NM03;201922034_meteon_outline_36.pdf
NA18;Natural Slate;Matt;431952;1368;NATURALS;2018_meteon.pdf;NA18-431952;NA18;201922034_meteon_outline_37.pdf
NA19;Italian Slate;Matt;431954;1269;NATURALS;2018_meteon.pdf;NA19-431954;NA19;201922034_meteon_outline_38.pdf
NM05;Hardened Brown;Matt, this decor has gloss elements in the surface ;430907;2566;NATURALS;2018_meteon.pdf;NM05-430907;NM05;201922034_meteon_outline_39.pdf
M53.0.1;Copper Red;Satin;401000;722;METALLICS;2018_meteon.pdf;M5301-401000;M53.0.1;201922034_meteon_outline_40.pdf
M21.3.4 ;Azurite Blue;Satin;431149;256;METALLICS;2018_meteon.pdf;M2134-431149;M21.3.4 ;201922034_meteon_outline_41.pdf
CM05.21;Santiago Gris;Diffuse;431562;722;FOCUS;2018_meteon.pdf;CM0521-431562;CM05.21;201922034_meteon_outline_42.pdf
CM09.06;Brooklyn Bronze;Diffuse;431549;36;FOCUS;2018_meteon.pdf;CM0906-431549;CM09.06;201922034_meteon_outline_43.pdf
CM09.51;Brooklyn Aluminium;Diffuse;431542;18;FOCUS;2018_meteon.pdf;CM0951-431542;CM09.51;201922034_meteon_outline_44.pdf
C01.21;Chester Grey;Diffuse;431942;640;FOCUS;2018_meteon.pdf;C0121-431942;C01.21;201922034_meteon_outline_45.pdf
C01.25;Chester Anthracite;Diffuse;431943;1280;FOCUS;2018_meteon.pdf;C0125-431943;C01.25;201922034_meteon_outline_46.pdf
C01.70;Chester Cement;Diffuse;431944;640;FOCUS;2018_meteon.pdf;C0170-431944;C01.70;201922034_meteon_outline_47.pdf
C06.24;Bilbao Selva;Diffuse;431945;640;FOCUS;2018_meteon.pdf;C0624-431945;C06.24;201922034_meteon_outline_48.pdf
C08.21;Brooklyn Luna;Diffuse;431529;256;FOCUS;2018_meteon.pdf;C0821-431529;C08.21;201922034_meteon_outline_49.pdf
CM05.21;Santiago Gris;Diffuse;431563;256;FOCUS;2018_meteon.pdf;CM0521-431563;CM05.21;201922034_meteon_outline_50.pdf
CM06.21;Bilbao Tierra;Diffuse;431950;640;FOCUS;2018_meteon.pdf;CM0621-431950;CM06.21;201922034_meteon_outline_51.pdf
CM06.25;Bilbao Sombra;Diffuse;431951;640;FOCUS;2018_meteon.pdf;CM0625-431951;CM06.25;201922034_meteon_outline_52.pdf
CM09.51;Brooklyn Aluminium;Diffuse;431541;256;FOCUS;2018_meteon.pdf;CM0951-431541;CM09.51;201922034_meteon_outline_53.pdf
L1245 ;California Red;Oblique;431908;1374;LUMEN;2018_meteon.pdf;L1245-431908;L1245 ;201922034_meteon_outline_54.pdf
L1245 ;California Red;Diffuse;431905;1805;LUMEN;2018_meteon.pdf;L1245-431905;L1245 ;201922034_meteon_outline_55.pdf
L1245 ;California Red;Diffuse;431905;1805;LUMEN;2018_meteon.pdf;L1245-431905;L1245 ;201922034_meteon_outline_55.pdf
L2581;New York Grey;Diffuse;431190;1560;LUMEN;2018_meteon.pdf;L2581-431190;L2581;201922034_meteon_outline_56.pdf
L2581;New York Grey;Diffuse;431190;1560;LUMEN;2018_meteon.pdf;L2581-431190;L2581;201922034_meteon_outline_56.pdf
LM2181;Siberian Platinum;Oblique;431510;722;LUMEN;2018_meteon.pdf;LM2181-431510;LM2181;201922034_meteon_outline_57.pdf
L1245 ;California Red;Specular;431902;2093;LUMEN;2018_meteon.pdf;L1245-431902;L1245 ;201922034_meteon_outline_58.pdf
L0964 ;India Brown;Oblique;431241;128;LUMEN;2018_meteon.pdf;L0964-431241;L0964 ;201922034_meteon_outline_59.pdf
L1245 ;California Red;Oblique;431939;640;LUMEN;2018_meteon.pdf;L1245-431939;L1245 ;201922034_meteon_outline_60.pdf
L1245 ;California Red;Specular;431933;640;LUMEN;2018_meteon.pdf;L1245-431933;L1245 ;201922034_meteon_outline_61.pdf
L1971 ;Iceland Grey;Oblique;431940;640;LUMEN;2018_meteon.pdf;L1971-431940;L1971 ;201922034_meteon_outline_62.pdf
L1971 ;Iceland Grey;Specular;431935;384;LUMEN;2018_meteon.pdf;L1971-431935;L1971 ;201922034_meteon_outline_63.pdf
LM0641;China Gold;Diffuse;431502;256;LUMEN;2018_meteon.pdf;LM0641-431502;LM0641;201922034_meteon_outline_64.pdf
LM0641;China Gold;Oblique;431504;256;LUMEN;2018_meteon.pdf;LM0641-431504;LM0641;201922034_meteon_outline_65.pdf
E0-02;Silver Grey;Crystal Matt;430787;540;;2018_toplab_BASE.pdf;E002-430787;E0-02;201922034_toplab_base_1_outline.pdf
