seizoen;MAAT;Colorcode;BARCODE;gi;aantal;naam;ean;r1;r2;r3;beeld
B-37-19;S;19.66.9926;20-257048-9999-4;STB07124045S;1800;D.Shirt Wit;2025704899994;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_1.pdf
B-37-19;S;19.66.9826;20-257044-9999-6;STB07125007S;3500;D.Shirt Zwart;2025704499996;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_2.pdf
B-37-19;S;19.66.9826;20-257044-9999-6;STB07125007S;3500;D.Shirt Zwart;2025704499996;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_2.pdf
B-37-19;M;19.66.9827;20-257045-9999-3;STB07125007M;4700;;2025704599993;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_3.pdf
B-37-19;L;19.66.9828;20-257046-9999-0;STB07125007L;2050;;2025704699990;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_4.pdf
B-37-19;S;19.65.9926;20-257041-9999-5;STB02006045S;600;D.Pantalon Wit;2025704199995;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_5.pdf
B-37-19;M;19.65.9927;20-257042-9999-2;STB02006045M;750;;2025704299992;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_6.pdf
B-37-19;L;19.65.9928;20-257043-9999-9;STB02006045L;60;;2025704399999;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_7.pdf
B-37-19;S;19.65.9826;20-257037-9999-8;STB02006007S;3500;D. Pantalon Zwart;2025703799998;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_8.pdf
B-37-19;M;19.65.9827;20-257038-9999-5;STB02006007M;250;;2025703899995;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_9.pdf
B-37-19;L;19.65.9828;20-257040-9999-8;STB02006007L;1000;;2025704099998;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_10.pdf
B-37-19;L;19.10.8712;20-257052-9999-1;STB12224045L;100;;2025705299991;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_11.pdf
B-37-19;XL;19.10.8713;20-257053-9999-8;STB12224045XL;375;;2025705399998;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_12.pdf
B-37-19;L;19.10.8812;20-257056-9999-9;STB12224007L;2200;;2025705699999;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_13.pdf
B-37-19;XL;19.10.8813;20-257057-9999-6;STB12224007XL;2000;;2025705799996;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_14.pdf
B-37-19;M;19.11.8711;20-257058-9999-3;STB05210045M;700;H.Pantalon Wit;2025705899993;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_15.pdf
B-37-19;L;19.11.8712;20-257059-9999-0;STB05210045L;700;;2025705999990;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_16.pdf
B-37-19;110/116;19.30.9112;20-256947-9999-1;STB15004045110/116;500;;2025694799991;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_17.pdf
B-37-19;122/128;19.30.9113;20-256948-9999-8;STB15004045122/128;2200;;2025694899998;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_18.pdf
B-37-19;146/152;19.30.9115;20-256950-9999-1;STB15007045146/152;2650;;2025695099991;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_19.pdf
B-37-19;98/104;19.30.9211;20-256958-9999-7;STB1500400798/104;1800;;2025695899997;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_20.pdf
B-37-19;122/128;19.30.9213;20-256960-9999-0;STB15004007122/128;2100;;2025696099990;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_21.pdf
B-37-19;134/140;19.30.9214;20-256961-9999-7;STB15007007134/140;1000;;2025696199997;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_22.pdf
B-37-19;158/164;19.30.9216;20-256963-9999-1;STB15007007158/164;300;;2025696399991;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_23.pdf
B-37-19;98/104;19.31.9111;20-256986-9999-0;STB1700404598/104;200;Kinder Pantalon Wit;2025698699990;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_24.pdf
B-37-19;110/116;19.31.9112;20-256987-9999-7;STB17004045110/116;1300;;2025698799997;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_25.pdf
B-37-19;122/128;19.31.9113;20-256988-9999-4;STB17004045122/128;250;;2025698899994;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_26.pdf
B-37-19;134/140;19.31.9114;20-256989-9999-1;STB17004045134/140;1300;;2025698999991;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_27.pdf
B-37-19;146/152;19.31.9115;20-256990-9999-7;STB17004045146/152;1100;;2025699099997;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_28.pdf
B-37-19;158/164;19.31.9116;20-256991-9999-4;STB17004045158/164;800;;2025699199994;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_29.pdf
B-37-19;98/104;19.31.9211;20-257021-9999-7;STB1700400798/104;2100;;2025702199997;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_30.pdf
B-37-19;110/116;19.31.9212;20-257022-9999-4;STB17004007110/116;600;Kinder pantalon Zwart;2025702299994;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_31.pdf
B-37-19;122/128;19.31.9213;20-257023-9999-1;STB17004007122/128;250;;2025702399991;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_32.pdf
B-37-19;134/140;19.31.9214;20-257024-9999-8;STB17004007134/140;1200;;2025702499998;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_33.pdf
B-37-19;146/152;19.31.9215;20-257025-9999-5;STB17004007146/152;4000;;2025702599995;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_34.pdf
B-37-19;158/164;19.31.9216;20-257026-9999-2;STB17004007158/164;3500;;2025702699992;51% Polyester/Poliéster ;47% Viscose/Viskose/Viscosa;2% Elastane/Elasthaan/Élasthanne/Elasthan/Elastano;201936510_35.pdf
