Colorcode;Colorname;Finish;num;aantal;omschrijving;pdf;ean;CN;beeld
Maat  L|33 etiketten;Modal T-Shirt Männer;Jonas;440|1281|750;40;L;4251530209845;groß;32,1;g_aufkleber_jonas_schwarz_L_75x125_outline.pdf
Maat  M|33 etiketten;Modal T-Shirt Männer;Jonas;440|1281|750;40;M;4251530209838;groß;32,1;g_aufkleber_jonas_schwarz_M_75x125_outline.pdf
Maat  S|33 etiketten;Modal T-Shirt Männer;Jonas;440|1281|750;40;S;4251530209821;groß;32,1;g_aufkleber_jonas_schwarz_S_75x125_outline.pdf
Maat  XL|33 etiketten;Modal T-Shirt Männer;Jonas;440|1281|750;40;XL;4251530209852;groß;32,1;g_aufkleber_jonas_schwarz_XL_75x125_outline.pdf
Maat  L|33 etiketten;Modal T-Shirt Männer;Jonas;440|1281|020;40;L;4251530209791;groß;32,1;g_aufkleber_jonas_weiss_L_75x125_outline.pdf
Maat  M|33 etiketten;Modal T-Shirt Männer;Jonas;440|1281|020;40;M;4251530209784;groß;32,1;g_aufkleber_jonas_weiss_M_75x125_outline.pdf
Maat  S|33 etiketten;Modal T-Shirt Männer;Jonas;440|1281|020;40;S;4251530209777;groß;32,1;g_aufkleber_jonas_weiss_S_75x125_outline.pdf
Maat  XL|33 etiketten;Modal T-Shirt Männer;Jonas;440|1281|020;40;XL;4251530209807;groß;32,1;g_aufkleber_jonas_weiss_XL_75x125_outline.pdf
Maat  36|65 etiketten;Trägernachthemd mit Spitze;Lene;440|1282|750;70;36;4251530207889;groß;64,2;g_aufkleber_lene_schwarz_36_75x125_outline.pdf
Maat  38|97 etiketten;Trägernachthemd mit Spitze;Lene;440|1282|750;100;38;4251530207896;groß;96,3;g_aufkleber_lene_schwarz_38_75x125_outline.pdf
Maat  40|65 etiketten;Trägernachthemd mit Spitze;Lene;440|1282|750;70;40;4251530207902;groß;64,2;g_aufkleber_lene_schwarz_40_75x125_outline.pdf
Maat  42|33 etiketten;Trägernachthemd mit Spitze;Lene;440|1282|750;40;42;4251530207919;groß;32,1;g_aufkleber_lene_schwarz_42_75x125_outline.pdf
Maat  44|17 etiketten;Trägernachthemd mit Spitze;Lene;440|1282|750;20;44;4251530207926;groß;16,05;g_aufkleber_lene_schwarz_44_75x125_outline.pdf
Maat  46|17 etiketten;Trägernachthemd mit Spitze;Lene;440|1282|750;20;46;4251530207933;groß;16,05;g_aufkleber_lene_schwarz_46_75x125_outline.pdf
Maat  36|65 etiketten;Schlafshorts mit Spitze;Greta;440|1275|750;70;36;4251530207957;groß;64,2;g_aufkleber_greta_schwarz_36_75x125_outline.pdf
Maat  38|97 etiketten;Schlafshorts mit Spitze;Greta;440|1275|750;100;38;4251530207964;groß;96,3;g_aufkleber_greta_schwarz_38_75x125_outline.pdf
Maat  40|65 etiketten;Schlafshorts mit Spitze;Greta;440|1275|750;70;40;4251530207971;groß;64,2;g_aufkleber_greta_schwarz_40_75x125_outline.pdf
Maat  42|33 etiketten;Schlafshorts mit Spitze;Greta;440|1275|750;40;42;4251530207988;groß;32,1;g_aufkleber_greta_schwarz_42_75x125_outline.pdf
Maat  44|17 etiketten;Schlafshorts mit Spitze;Greta;440|1275|750;20;44;4251530207995;groß;16,05;g_aufkleber_greta_schwarz_44_75x125_outline.pdf
Maat  46|17 etiketten;Schlafshorts mit Spitze;Greta;440|1275|750;20;46;4251530208008;groß;16,05;g_aufkleber_greta_schwarz_46_75x125_outline.pdf
Maat  36|65 etiketten;Schlafshirt mit Spitze;Nora;440|1276|750;70;36;4251530208022;groß;64,2;g_aufkleber_nora_schwarz_36_75x125_outline.pdf
Maat  38|97 etiketten;Schlafshirt mit Spitze;Nora;440|1276|750;100;38;4251530208039;groß;96,3;g_aufkleber_nora_schwarz_38_75x125_outline.pdf
Maat  40|65 etiketten;Schlafshirt mit Spitze;Nora;440|1276|750;70;40;4251530208046;groß;64,2;g_aufkleber_nora_schwarz_40_75x125_outline.pdf
Maat  42|33 etiketten;Schlafshirt mit Spitze;Nora;440|1276|750;40;42;4251530208053;groß;32,1;g_aufkleber_nora_schwarz_42_75x125_outline.pdf
Maat  44|17 etiketten;Schlafshirt mit Spitze;Nora;440|1276|750;20;44;4251530208060;groß;16,05;g_aufkleber_nora_schwarz_44_75x125_outline.pdf
Maat  46|17 etiketten;Schlafshirt mit Spitze;Nora;440|1276|750;20;46;4251530208077;groß;16,05;g_aufkleber_nora_schwarz_46_75x125_outline.pdf
Maat  36|65 etiketten;Schlafhose lang;Luna;440|1278|750;70;36;4251530208091;groß;64,2;g_aufkleber_luna_schwarz_36_75x125_outline.pdf
Maat  38|97 etiketten;Schlafhose lang;Luna;440|1278|750;100;38;4251530208107;groß;96,3;g_aufkleber_luna_schwarz_38_75x125_outline.pdf
Maat  40|65 etiketten;Schlafhose lang;Luna;440|1278|750;70;40;4251530208114;groß;64,2;g_aufkleber_luna_schwarz_40_75x125_outline.pdf
Maat  42|33 etiketten;Schlafhose lang;Luna;440|1278|750;40;42;4251530208121;groß;32,1;g_aufkleber_luna_schwarz_42_75x125_outline.pdf
Maat  44|17 etiketten;Schlafhose lang;Luna;440|1278|750;20;44;4251530208138;groß;16,05;g_aufkleber_luna_schwarz_44_75x125_outline.pdf
Maat  46|17 etiketten;Schlafhose lang;Luna;440|1278|750;20;46;4251530208145;groß;16,05;g_aufkleber_luna_schwarz_46_75x125_outline.pdf
Maat  34|54 etiketten;Jumpsuit;Milla;440|1279|750;60;34;4251530209876;groß;53,5;g_aufkleber_milla_schwarz_34_75x125_outline.pdf
Maat  36|107 etiketten;Jumpsuit;Milla;440|1279|750;110;36;4251530209883;groß;107;g_aufkleber_milla_schwarz_36_75x125_outline.pdf
Maat  38|107 etiketten;Jumpsuit;Milla;440|1279|750;110;38;4251530209890;groß;107;g_aufkleber_milla_schwarz_38_75x125_outline.pdf
Maat  40|54 etiketten;Jumpsuit;Milla;440|1279|750;60;40;4251530209906;groß;53,5;g_aufkleber_milla_schwarz_40_75x125_outline.pdf
Maat  42|33 etiketten;Jumpsuit;Milla;440|1279|750;40;42;4251530209913;groß;32,1;g_aufkleber_milla_schwarz_42_75x125_outline.pdf
Maat  36|65 etiketten;Nachthemd;Mona;440|1237|750;70;36;4057987155816;groß;64,2;g_aufkleber_mona_schwarz_36_75x125_outline.pdf
Maat  38|97 etiketten;Nachthemd ;Mona;440|1237|750;100;38;4057987155823;groß;96,3;g_aufkleber_mona_schwarz_38_75x125_outline.pdf
Maat  40|65 etiketten;Nachthemd;Mona;440|1237|750;70;40;4057987155830;groß;64,2;g_aufkleber_mona_schwarz_40_75x125_outline.pdf
Maat  42|33 etiketten;Nachthemd ;Mona;440|1237|750;40;42;4057987155847;groß;32,1;g_aufkleber_mona_schwarz_42_75x125_outline.pdf
Maat  44|33 etiketten;Nachthemd ;Mona;440|1237|750;40;44;4057987155854;groß;32,1;g_aufkleber_mona_schwarz_44_75x125_outline.pdf
Maat  46|33 etiketten;Nachthemd ;Mona;440|1237|750;40;46;4057987155861;groß;32,1;g_aufkleber_mona_schwarz_46_75x125_outline.pdf
Maat  36|482 etiketten;Stringbody;Alma;440|1206|750;490;36;4057987070492;groß;482;464721000137_outline.pdf
Maat  38|161 etiketten;Stringbody;Alma;440|1206|750;170;38;4057987070508;groß;161;464721000138_outline.pdf
Maat  36|161 etiketten;Tanktop lang;Charlotte;440|1235|845;170;36;4057987155298;groß;161;464721000139_outline.pdf
Maat  36|214 etiketten;Tanktop lang;Charlotte;440|1235|750;220;36;4057987155144;groß;214;464721000140_outline.pdf
