Colorcode;Colorname;Finish;num;aantal;omschrijving;pdf
A19.7.1;Charcoal Grey;Satin;431913;1444;UNI COLOURS;2018_meteon.pdf
A12.4.5;East Red;Satin;431911;1444;UNI COLOURS;2018_meteon.pdf
A09.6.4;Mahogany Red;Satin;400550;722;UNI COLOURS;2018_meteon.pdf
A30.3.2 ;Verdigris;Satin;400634;722;UNI COLOURS;2018_meteon.pdf
A05.0.0;Pure White;Satin;400507;3180;UNI COLOURS;2018_meteon.pdf
A21.7.0;Steel Grey;Satin;430179;1360;UNI COLOURS;2018_meteon.pdf
A05.5.0;Quartz Grey;Satin;430149;2692;UNI COLOURS;2018_meteon.pdf
A90.0.0;Black;Satin;400653;3610;UNI COLOURS;2018_meteon.pdf
A05.1.1;Stone Beige;Satin;400518;722;UNI COLOURS;2018_meteon.pdf
A22.4.4 ;Brilliant Blue;Satin;400604;722;UNI COLOURS;2018_meteon.pdf
A06.7.1;Natural Greige;Satin;430147;653;UNI COLOURS;2018_meteon.pdf
A10.1.8;Red Orange;Satin;410586;722;UNI COLOURS;2018_meteon.pdf
A20.7.2;Dark Blue;Satin;400586;722;UNI COLOURS;2018_meteon.pdf
A08.2.1;Mid Beige;Satin;400535;722;UNI COLOURS;2018_meteon.pdf
A16.5.1;Mauve;Satin;400578;722;UNI COLOURS;2018_meteon.pdf
A10.4.5;Sienna Brown;Satin;431078;256;UNI COLOURS;2018_meteon.pdf
A05.1.2;Champagne;Satin;431125;128;UNI COLOURS;2018_meteon.pdf
A05.0.0;Pure White;Rock;431056;256;UNI COLOURS;2018_meteon.pdf
A19.7.1;Charcoal Grey;Rock;431914;1444;UNI COLOURS;2018_meteon.pdf
A22.2.4;Powder Blue;Rock;412204;722;UNI COLOURS;2018_meteon.pdf
A22.6.2 ;Dark Denim;Rock;412129;722;UNI COLOURS;2018_meteon.pdf
A12.4.5;East Red;Rock;431912;1444;UNI COLOURS;2018_meteon.pdf
NW30;Tropical Ipe;Matt;431931;2904;WOOD DECORS;2018_meteon.pdf
NW08;Italian Walnut;Satin;401431;2819;WOOD DECORS;2018_meteon.pdf
NW12;Natural Bagenda;Satin;411143;968;WOOD DECORS;2018_meteon.pdf
NW11;Santos Palisander;Satin;411142;874;WOOD DECORS;2018_meteon.pdf
NW02;Elegant Oak;Matt;430292;63;WOOD DECORS;2018_meteon.pdf
NW25;Hesbania;Matt;430902;42;WOOD DECORS;2018_meteon.pdf
NW29;Woodstone;Matt;430898;42;WOOD DECORS;2018_meteon.pdf
NW02 ;Elegant Oak;Satin;401434;21;WOOD DECORS;2018_meteon.pdf
NW15;Milano Sabbia;Satin;411065;42;WOOD DECORS;2018_meteon.pdf
NW10;English Cherry;Satin;410227;42;WOOD DECORS;2018_meteon.pdf
NW14;French Walnut;Satin;411060;42;WOOD DECORS;2018_meteon.pdf
NW03;Harmony Oak;Satin;401435;63;WOOD DECORS;2018_meteon.pdf
NW05;Loft Brown;Satin;401437;42;WOOD DECORS;2018_meteon.pdf
NW02 ;Elegant Oak;Matt;430826;513;WOOD DECORS;2018_meteon.pdf
NW08;Italian Walnut;Satin;430837;342;WOOD DECORS;2018_meteon.pdf
NW10;English Cherry;Satin;430714;342;WOOD DECORS;2018_meteon.pdf
C08.03;Brooklyn Classic;Diffuse;431575;2888;FOCUS;2018_meteon.pdf
C08.25;Brooklyn Anthracite;Diffuse;431533;2458;FOCUS;2018_meteon.pdf
CM05.04;Santiago Blanco;Diffuse;431553;722;FOCUS;2018_meteon.pdf
CM09.06;Brooklyn Bronze;Diffuse;431551;384;FOCUS;2018_meteon.pdf
C08.03;Brooklyn Classic;Diffuse;431528;384;FOCUS;2018_meteon.pdf
L1245;California Red;Diffuse;431905;1444;LUMEN;2018_meteon.pdf
L1971;Iceland Grey;Diffuse;431906;1444;LUMEN;2018_meteon.pdf
L1245;California Red;Specular;431902;1444;LUMEN;2018_meteon.pdf
L9000;Metropolis Black;Specular;431189;2166;LUMEN;2018_meteon.pdf
L0500 ;Athens White;Diffuse;431218;72;LUMEN;2018_meteon.pdf
L0500 ;Athens White;Specular;431220;72;LUMEN;2018_meteon.pdf
L0500 ;Athens White;Oblique;431239;512;LUMEN;2018_meteon.pdf
L0500 ;Athens White;Specular;431419;384;LUMEN;2018_meteon.pdf
NA19 ;Italian Slate;Matt;431929;1936;NATURALS;2018_meteon.pdf
NA18;Natural Slate;Matt;431927;1936;NATURALS;2018_meteon.pdf
NA15;Indian Terra Cotta;Matt;430314;1936;NATURALS;2018_meteon.pdf
NA16 ;Belgian Bluestone;Matt;431639;42;NATURALS;2018_meteon.pdf
NA19 ;Italian Slate;Matt-Rock;431979;54;NATURALS;2018_meteon.pdf
NA17;Natural Graphite;Matt;431644;616;NATURALS;2018_meteon.pdf
M35.7.1 ;Malachite Green;Satin;431148;256;METALLICS;2018_meteon.pdf
M06.4.1;Amber;Satin;431144;384;METALLICS;2018_meteon.pdf
M51.0.2;Urban Grey;Rock;431062;128;METALLICS;2018_meteon.pdf
M21.8.1;Graphite Grey;Rock;400834;722;METALLICS;2018_meteon.pdf
7039;Quartz Grey;Satin;431367;968;RAL COLOURS;2018_izeon.pdf
P04.0.2;Pale Yellow;Satin | Flush | Black core;431463;1139;UNI COLOURS;2018_Pura.pdf
P05.0.0 ;Pure White;Satin | Flush | Black core;431461;1141;UNI COLOURS;2018_Pura.pdf
P03.0.0 ;White;Satin | Flush | Black core;431462;1200;UNI COLOURS;2018_Pura.pdf
PU22 ;Slate Ebony;Matt | Flush | Black core;431164;1200;WOOD DECORS;2018_Pura.pdf
PU17;Aged Ash;Matt | Flush | Brown core;431165;1138;WOOD DECORS;2018_Pura.pdf
PU08 ;Romantic Walnut;Matt | Flush | Brown core;431168;1200;WOOD DECORS;2018_Pura.pdf
PU30;Tropical Ipe;Matt | Flush | Brown core;431879;1200;WOOD DECORS;2018_Pura.pdf
T03.0.0 ;White;Crystal Matt;400924;1350;;2018_toplab_PLUS.pdf
T03.4.0;Silver Grey;Crystal Matt;400930;1080;;2018_toplab_PLUS.pdf
T03.1.0;Pastel Grey;Crystal Matt;400927;1080;;2018_toplab_PLUS.pdf
D02.1.0;Pastel Grey/Silver;Crystal Matt;400675;540;;2018_toplab_PLUS.pdf
